strategy,method,roc_auc,pr_auc,f1,detection_delay,false_alarm_rate
default,ecod,0.7799140914351851,0.9239667324621176,0.8596568094926565,409.64444444444445,0.0
default,iforest,0.8025403350694444,0.932731922847404,0.8605831461959434,18.244444444444444,0.044083333333333335
default,ocsvm,0.8546696603009258,0.9541802683237484,0.8623787996882306,10.3,0.04466666666666667
default,pca,0.8540817146990741,0.9536310592530741,0.8628651045609838,14.577777777777778,0.042458333333333334
default,autoencoder,0.8459386600115741,0.9516387888690772,0.859608759995523,5.2555555555555555,0.09833333333333333
default,som,0.8501658778935185,0.9530075884335945,0.860494453170412,5.044444444444444,0.11
default,deep_svdd,0.8148830167824075,0.9389956690252763,0.8580401405400203,8.044444444444444,0.071375
hpo,iforest,0.812568962962963,0.9364615131185953,0.860512413502319,15.833333333333334,0.04558333333333333
ensemble,average,0.8454211388888888,0.9497621162613911,0.8622103828521868,33.01111111111111,0.015041666666666667
select_internal,pca,0.8540817146990741,0.9536310592530741,0.8628651045609838,14.577777777777778,0.042458333333333334
select_oracle,ocsvm,0.8546696603009258,0.9541802683237484,0.8623787996882306,10.3,0.04466666666666667
